Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM,Bias,MeanState,global,scalar,degC,-0.12202
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM,Bias Score,MeanState,global,score,1,0.794341
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM,Phase Shift,MeanState,global,scalar,months,0.240421
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM,Seasonal Cycle Score,MeanState,global,score,1,0.979222
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM,RMSE,MeanState,global,scalar,degC,2.17258
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM,RMSE Score,MeanState,global,score,1,0.834008
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM,Overall Score,MeanState,global,score,1,0.860395
Forcings,Precipitation,GPCPv2.3,ELM,Benchmark Period Mean (intersection),MeanState,global,scalar,mm d-1,2.27723
Forcings,Precipitation,GPCPv2.3,ELM,Benchmark Period Mean (complement),MeanState,global,scalar,mm d-1,3.44623
Forcings,Precipitation,GPCPv2.3,ELM,Period Mean (original grids),MeanState,global,scalar,mm d-1,1968.8
Forcings,Precipitation,GPCPv2.3,ELM,Model Period Mean (intersection),MeanState,global,scalar,mm d-1,1942.39
Forcings,Precipitation,GPCPv2.3,ELM,Model Period Mean (complement),MeanState,global,scalar,mm d-1,nan
Forcings,Precipitation,GPCPv2.3,ELM,Spatial Distribution Score,MeanState,global,score,1,3.36035e-06
Forcings,Precipitation,GPCPv2.3,ELM,Phase Shift,MeanState,global,scalar,months,1.20311
Forcings,Precipitation,GPCPv2.3,ELM,Seasonal Cycle Score,MeanState,global,score,1,0.859801
Forcings,Precipitation,GPCPv2.3,ELM,Bias,MeanState,global,scalar,mm d-1,1936.69
Forcings,Precipitation,GPCPv2.3,ELM,Bias Score,MeanState,global,score,1,0.00419749
Forcings,Precipitation,GPCPv2.3,ELM,RMSE,MeanState,global,scalar,mm d-1,2378.16
Forcings,Precipitation,GPCPv2.3,ELM,RMSE Score,MeanState,global,score,1,0.00814044
Forcings,Precipitation,GPCPv2.3,ELM,Overall Score,MeanState,global,score,1,0.176057
Forcings,Precipitation,GPCCv2018,ELM,Benchmark Period Mean (intersection),MeanState,global,scalar,mm d-1,2.24332
Forcings,Precipitation,GPCCv2018,ELM,Benchmark Period Mean (complement),MeanState,global,scalar,mm d-1,4.12404
Forcings,Precipitation,GPCCv2018,ELM,Period Mean (original grids),MeanState,global,scalar,mm d-1,1969.51
Forcings,Precipitation,GPCCv2018,ELM,Model Period Mean (intersection),MeanState,global,scalar,mm d-1,2093.62
Forcings,Precipitation,GPCCv2018,ELM,Model Period Mean (complement),MeanState,global,scalar,mm d-1,992.655
Forcings,Precipitation,GPCCv2018,ELM,Spatial Distribution Score,MeanState,global,score,1,3.75403e-06
Forcings,Precipitation,GPCCv2018,ELM,Phase Shift,MeanState,global,scalar,months,0.66824
Forcings,Precipitation,GPCCv2018,ELM,Seasonal Cycle Score,MeanState,global,score,1,0.906046
Forcings,Precipitation,GPCCv2018,ELM,Bias,MeanState,global,scalar,mm d-1,2088.72
Forcings,Precipitation,GPCCv2018,ELM,Bias Score,MeanState,global,score,1,1.84556e-05
Forcings,Precipitation,GPCCv2018,ELM,RMSE,MeanState,global,scalar,mm d-1,2570.28
Forcings,Precipitation,GPCCv2018,ELM,RMSE Score,MeanState,global,score,1,2.72633e-06
Forcings,Precipitation,GPCCv2018,ELM,Overall Score,MeanState,global,score,1,0.181215
Forcings,Precipitation,CMAPv1904,ELM,Benchmark Period Mean (intersection),MeanState,global,scalar,mm d-1,2.00934
Forcings,Precipitation,CMAPv1904,ELM,Benchmark Period Mean (complement),MeanState,global,scalar,mm d-1,3.16194
Forcings,Precipitation,CMAPv1904,ELM,Period Mean (original grids),MeanState,global,scalar,mm d-1,1968.8
Forcings,Precipitation,CMAPv1904,ELM,Model Period Mean (intersection),MeanState,global,scalar,mm d-1,1942.58
Forcings,Precipitation,CMAPv1904,ELM,Model Period Mean (complement),MeanState,global,scalar,mm d-1,99.1004
Forcings,Precipitation,CMAPv1904,ELM,Spatial Distribution Score,MeanState,global,score,1,2.57741e-06
