Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Benchmark Period Mean (intersection),MeanState,bona,scalar,Pg yr-1,2.92958
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Benchmark Period Mean (complement),MeanState,bona,scalar,Pg yr-1,0.00947465
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Period Mean (original grids),MeanState,bona,scalar,Pg yr-1,6.32864
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Model Period Mean (intersection),MeanState,bona,scalar,Pg yr-1,5.41608
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Model Period Mean (complement),MeanState,bona,scalar,Pg yr-1,0.65119
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Spatial Distribution Score,MeanState,global,score,1,0.736837
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Spatial Distribution Score,MeanState,bona,score,1,0.523253
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Phase Shift,MeanState,global,scalar,months,0.993201
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Seasonal Cycle Score,MeanState,global,score,1,0.816778
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Phase Shift,MeanState,bona,scalar,months,0.393723
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Seasonal Cycle Score,MeanState,bona,score,1,0.981866
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Bias,MeanState,global,scalar,g m-2 d-1,0.956629
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Bias Score,MeanState,global,score,1,0.272934
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Bias,MeanState,bona,scalar,g m-2 d-1,0.731104
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Bias Score,MeanState,bona,score,1,0.368112
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,RMSE,MeanState,global,scalar,g m-2 d-1,1.53429
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,RMSE Score,MeanState,global,score,1,0.518152
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,RMSE,MeanState,bona,scalar,g m-2 d-1,1.14828
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,RMSE Score,MeanState,bona,score,1,0.494341
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Overall Score,MeanState,global,score,1,0.57257
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Overall Score,MeanState,bona,score,1,0.572382
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Evapotranspiration Hellinger Distance,Relationships,global,scalar,1,0.512869
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Evapotranspiration RMSE Score,Relationships,global,score,1,0.0650659
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Evapotranspiration Hellinger Distance,Relationships,bona,scalar,1,0.330125
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Evapotranspiration RMSE Score,Relationships,bona,score,1,0.176099
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Overall Score,Relationships,global,score,1,0.0650659
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Overall Score,Relationships,bona,score,1,0.176099
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Benchmark Period Mean (intersection),MeanState,global,scalar,Pg yr-1,95.378
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Benchmark Period Mean (complement),MeanState,global,scalar,Pg yr-1,0.211168
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Period Mean (original grids),MeanState,global,scalar,Pg yr-1,203.579
