Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,EnsembleCMIP5,Period Mean (original grids),MeanState,global,scalar,Pg,1504.56
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,EnsembleCMIP5,Model Period Mean (intersection),MeanState,global,scalar,Pg,364.42
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,EnsembleCMIP5,Model Period Mean (complement),MeanState,global,scalar,Pg,1134.02
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,EnsembleCMIP5,Benchmark Period Mean (intersection),MeanState,above,scalar,Pg,130.681
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,EnsembleCMIP5,Benchmark Period Mean (complement),MeanState,above,scalar,Pg,nan
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,EnsembleCMIP5,Period Mean (original grids),MeanState,above,scalar,Pg,152.912
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,EnsembleCMIP5,Model Period Mean (intersection),MeanState,above,scalar,Pg,104.55
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,EnsembleCMIP5,Model Period Mean (complement),MeanState,above,scalar,Pg,49.7337
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,EnsembleCMIP5,Spatial Distribution Score,MeanState,global,score,1,0.565877
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,EnsembleCMIP5,Spatial Distribution Score,MeanState,above,score,1,0.263729
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,EnsembleCMIP5,Bias,MeanState,global,scalar,kg m-2,-4.8478
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,EnsembleCMIP5,Bias Score,MeanState,global,score,1,0.630394
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,EnsembleCMIP5,Bias,MeanState,above,scalar,kg m-2,-4.03903
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,EnsembleCMIP5,Bias Score,MeanState,above,score,1,0.564905
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,EnsembleCMIP5,Overall Score,MeanState,global,score,1,0.598135
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,EnsembleCMIP5,Overall Score,MeanState,above,score,1,0.414317
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,GISS-E2-1-G,Benchmark Period Mean (intersection),MeanState,global,scalar,Pg,466.758
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,GISS-E2-1-G,Benchmark Period Mean (complement),MeanState,global,scalar,Pg,6.08817
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,GISS-E2-1-G,Period Mean (original grids),MeanState,global,scalar,Pg,1541.13
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,GISS-E2-1-G,Model Period Mean (intersection),MeanState,global,scalar,Pg,638.346
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,GISS-E2-1-G,Model Period Mean (complement),MeanState,global,scalar,Pg,1157.61
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,GISS-E2-1-G,Benchmark Period Mean (intersection),MeanState,above,scalar,Pg,127.797
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,GISS-E2-1-G,Benchmark Period Mean (complement),MeanState,above,scalar,Pg,2.86059
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,GISS-E2-1-G,Period Mean (original grids),MeanState,above,scalar,Pg,249.31
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,GISS-E2-1-G,Model Period Mean (intersection),MeanState,above,scalar,Pg,159.167
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,GISS-E2-1-G,Model Period Mean (complement),MeanState,above,scalar,Pg,78.3651
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,GISS-E2-1-G,Spatial Distribution Score,MeanState,global,score,1,0.880087
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,GISS-E2-1-G,Spatial Distribution Score,MeanState,above,score,1,0.755831
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,GISS-E2-1-G,Bias,MeanState,global,scalar,kg m-2,8.34794
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,GISS-E2-1-G,Bias Score,MeanState,global,score,1,0.613127
